Category,Subcategory,Threshold,Strategy,Score,Type,Driver
Built Environment Density,Percent Impervious,>=0 and <25,Centralized Surface Green,++,Condition,
Built Environment Density,Percent Impervious,>=0 and <25,Centralized Subsurface Gray,--,Condition,
Built Environment Density,Average Building Height,>=100,Decentralized Surface Green,-,Condition,
Built Environment Density,Average Building Height,>=100,Decentralized Roof Top Green,-,Condition,
Built Environment Density,Average Building Height,>=100,Decentralized Surface Gray,-,Condition,
Built Environment Density,Average Building Height,>=100,Decentralized Subsurface Gray,+,Condition,
Built Environment Density,Average Building Height,>=100,Centralized Surface Green,-,Condition,
Built Environment Density,Average Building Height,>=100,Centralized Subsurface Gray,+,Condition,
Built Environment Density,Average Building Height,>=40 and <100,Decentralized Surface Green,+,Condition,
Built Environment Density,Average Building Height,>=40 and <100,Decentralized Roof Top Green,+,Condition,
Built Environment Density,Average Building Height,>=40 and <100,Decentralized Surface Gray,+,Condition,
Built Environment Density,Average Building Height,>=40 and <100,Decentralized Subsurface Gray,-,Condition,
Built Environment Density,Average Building Height,>=40 and <100,Centralized Surface Green,+,Condition,
Built Environment Density,Average Building Height,>=40 and <100,Centralized Subsurface Gray,+,Condition,
Built Environment Density,Average Building Height,<40,Decentralized Surface Green,+,Condition,
Built Environment Density,Average Building Height,<40,Decentralized Roof Top Green,+,Condition,
Built Environment Density,Average Building Height,<40,Decentralized Surface Gray,+,Condition,
Built Environment Density,Average Building Height,<40,Decentralized Subsurface Gray,+,Condition,
Built Environment Density,Average Building Height,<40,Centralized Surface Green,+,Condition,
Built Environment Density,Average Building Height,<40,Centralized Subsurface Gray,+,Condition,
Subsurface Boundaries,Bedrock Depth,<3,Decentralized Surface Green,--,Condition,
Subsurface Boundaries,Bedrock Depth,<3,Decentralized Roof Top Green,=,Condition,
Subsurface Boundaries,Bedrock Depth,<3,Decentralized Surface Gray,-,Condition,
Subsurface Boundaries,Bedrock Depth,<3,Decentralized Subsurface Gray,--,Condition,
Subsurface Boundaries,Bedrock Depth,<3,Centralized Surface Green,--,Condition,
Subsurface Boundaries,Bedrock Depth,<3,Centralized Subsurface Gray,=,Condition,
Subsurface Boundaries,Bedrock Depth,>=3 and <8,Decentralized Surface Green,-,Condition,
Subsurface Boundaries,Bedrock Depth,>=3 and <8,Decentralized Roof Top Green,=,Condition,
Subsurface Boundaries,Bedrock Depth,>=3 and <8,Decentralized Surface Gray,+,Condition,
Subsurface Boundaries,Bedrock Depth,>=3 and <8,Decentralized Subsurface Gray,-,Condition,
Subsurface Boundaries,Bedrock Depth,>=3 and <8,Centralized Surface Green,+,Condition,
Subsurface Boundaries,Bedrock Depth,>=3 and <8,Centralized Subsurface Gray,=,Condition,
Subsurface Boundaries,Bedrock Depth,>=8,Decentralized Surface Green,+,Condition,
Subsurface Boundaries,Bedrock Depth,>=8,Decentralized Roof Top Green,=,Condition,
Subsurface Boundaries,Bedrock Depth,>=8,Decentralized Surface Gray,+,Condition,
Subsurface Boundaries,Bedrock Depth,>=8,Decentralized Subsurface Gray,+,Condition,
Subsurface Boundaries,Bedrock Depth,>=8,Centralized Surface Green,+,Condition,
Subsurface Boundaries,Bedrock Depth,>=8,Centralized Subsurface Gray,=,Condition,
Subsurface Boundaries,Groundwater,<3,Decentralized Surface Green,--,Condition,
Subsurface Boundaries,Groundwater,<3,Decentralized Roof Top Green,=,Condition,
Subsurface Boundaries,Groundwater,<3,Decentralized Surface Gray,-,Condition,
Subsurface Boundaries,Groundwater,<3,Decentralized Subsurface Gray,--,Condition,
Subsurface Boundaries,Groundwater,<3,Centralized Surface Green,--,Condition,
Subsurface Boundaries,Groundwater,<3,Centralized Subsurface Gray,=,Condition,
Subsurface Boundaries,Groundwater,>=3 and <8,Decentralized Surface Green,-,Condition,
Subsurface Boundaries,Groundwater,>=3 and <8,Decentralized Roof Top Green,=,Condition,
Subsurface Boundaries,Groundwater,>=3 and <8,Decentralized Surface Gray,+,Condition,
Subsurface Boundaries,Groundwater,>=3 and <8,Decentralized Subsurface Gray,-,Condition,
Subsurface Boundaries,Groundwater,>=3 and <8,Centralized Surface Green,+,Condition,
Subsurface Boundaries,Groundwater,>=3 and <8,Centralized Subsurface Gray,=,Condition,
Subsurface Boundaries,Groundwater,>=8,Decentralized Surface Green,+,Condition,
Subsurface Boundaries,Groundwater,>=8,Decentralized Roof Top Green,=,Condition,
Subsurface Boundaries,Groundwater,>=8,Decentralized Surface Gray,+,Condition,
Subsurface Boundaries,Groundwater,>=8,Decentralized Subsurface Gray,+,Condition,
Subsurface Boundaries,Groundwater,>=8,Centralized Surface Green,+,Condition,
Subsurface Boundaries,Groundwater,>=8,Centralized Subsurface Gray,=,Condition,
,,,Decentralized Surface Green,+,Driver,Water Quality - CSO
,,,Decentralized Roof Top Green,+,Driver,Water Quality - CSO
,,,Decentralized Surface Gray,+,Driver,Water Quality - CSO
,,,Decentralized Subsurface Gray,+,Driver,Water Quality - CSO
,,,Centralized Surface Green,-,Driver,Water Quality - CSO
,,,Centralized Subsurface Gray,+,Driver,Water Quality - CSO
,,,Decentralized Surface Green,+,Driver,Water Quality - MS4
,,,Decentralized Roof Top Green,-,Driver,Water Quality - MS4
,,,Decentralized Surface Gray,+,Driver,Water Quality - MS4
,,,Decentralized Subsurface Gray,-,Driver,Water Quality - MS4
,,,Centralized Surface Green,+,Driver,Water Quality - MS4
,,,Centralized Subsurface Gray,--,Driver,Water Quality - MS4
,,,Decentralized Surface Green,-,Driver,Water Quantity - Flood Mitigation (Riverine)
,,,Decentralized Roof Top Green,-,Driver,Water Quantity - Flood Mitigation (Riverine)
,,,Decentralized Surface Gray,-,Driver,Water Quantity - Flood Mitigation (Riverine)
,,,Decentralized Subsurface Gray,-,Driver,Water Quantity - Flood Mitigation (Riverine)
,,,Centralized Surface Green,++,Driver,Water Quantity - Flood Mitigation (Riverine)
,,,Centralized Subsurface Gray,-,Driver,Water Quantity - Flood Mitigation (Riverine)
,,,Decentralized Surface Green,-,Driver,Water Quantity - Flood Mitigation (Coastal)
,,,Decentralized Roof Top Green,-,Driver,Water Quantity - Flood Mitigation (Coastal)
,,,Decentralized Surface Gray,-,Driver,Water Quantity - Flood Mitigation (Coastal)
,,,Decentralized Subsurface Gray,-,Driver,Water Quantity - Flood Mitigation (Coastal)
,,,Centralized Surface Green,+,Driver,Water Quantity - Flood Mitigation (Coastal)
,,,Centralized Subsurface Gray,-,Driver,Water Quantity - Flood Mitigation (Coastal)
,,,Decentralized Surface Green,++,Driver,Water Quantity - Stormwater (Nuisance)
,,,Decentralized Roof Top Green,+,Driver,Water Quantity - Stormwater (Nuisance)
,,,Decentralized Surface Gray,+,Driver,Water Quantity - Stormwater (Nuisance)
,,,Decentralized Subsurface Gray,++,Driver,Water Quantity - Stormwater (Nuisance)
,,,Centralized Surface Green,-,Driver,Water Quantity - Stormwater (Nuisance)
,,,Centralized Subsurface Gray,-,Driver,Water Quantity - Stormwater (Nuisance)
